# tempo_detrend fluxo_detrend
1330.137501 1.001224
1330.138890 1.001792
1330.140279 1.001289
1330.141668 1.000799
1330.143057 1.000909
1330.144446 1.001006
1330.145835 0.999813
1330.147223 1.000162
1330.148612 1.000307
1330.150001 1.000810
1330.151390 1.000702
1330.152779 1.000328
1330.154168 1.000351
1330.155557 1.000452
1330.156946 1.000298
1330.158334 0.999866
1330.159723 1.000378
1330.161112 1.000196
1330.162501 1.000423
1330.163890 1.000611
1330.165279 0.999570
1330.168057 1.000091
1330.169446 1.000350
1330.170834 1.000151
1330.172223 0.999992
1330.173612 1.000062
1330.175001 0.999997
1330.176390 0.999800
1330.177779 0.999449
1330.179168 1.000354
1330.180557 0.999864
1330.181946 1.000184
1330.183334 0.999489
1330.184723 0.999926
1330.186112 1.000029
1330.190279 0.999650
1330.191668 1.000032
1330.193057 0.998838
1330.194445 0.999944
1330.195834 0.999318
1330.197223 1.000109
1330.198612 0.999342
1330.200001 0.999815
1330.201390 1.000036
1330.202779 1.000065
1330.204168 0.999425
1330.205557 1.000061
1330.206945 0.999827
1330.208334 0.999965
1330.211112 0.999668
1330.212501 1.000483
1330.213890 1.000247
1330.215279 1.000509
1330.216668 0.999907
1330.218056 1.000296
1330.219445 1.000424
1330.220834 1.000576
1330.222223 1.000591
1330.223612 1.000256
1330.225001 1.000406
1330.226390 1.000864
1330.227779 1.000054
1330.230556 0.999507
1330.231945 1.000422
1330.233334 0.998806
1330.236112 0.999307
1330.237501 0.999348
1330.238890 0.999667
1330.240279 1.000563
1330.241668 0.999712
1330.243056 0.999819
1330.245834 0.999872
1330.247223 0.999464
1330.250001 0.999958
1330.251390 0.999351
1330.252779 0.999393
1330.254167 1.000607
1330.255556 1.000186
1330.256945 0.999769
1330.258334 1.000097
1330.259723 0.999726
1330.261112 1.000091
1330.262501 0.999592
1330.263890 1.000091
1330.265279 0.999732
1330.266667 0.999598
1330.268056 1.000167
1330.269445 1.000082
1330.270834 1.000116
1330.272223 0.999923
1330.273612 1.000397
1330.275001 0.999772
1330.277779 0.999984
1330.279167 1.000162
1330.280556 1.000039
1330.281945 1.000063
1330.283334 0.999976
1330.284723 0.999995
1330.286112 1.000032
1330.287501 0.999422
1330.288890 0.999905
1330.290278 1.000214
1330.291667 0.999361
1330.293056 1.000182
1330.294445 1.000360
1330.295834 1.000150
1330.297223 1.000250
1330.298612 1.000106
1330.300001 1.000338
1330.301390 1.000295
1330.302778 1.000202
1330.304167 0.999748
1330.305556 1.000286
1330.306945 0.999936
1330.308334 1.000090
1330.309723 0.999764
1330.311112 1.000525
1330.312501 1.000397
1330.313889 0.999988
1330.315278 1.000570
1330.316667 1.000042
1330.318056 1.000367
1330.319445 1.000005
1330.320834 0.999308
1330.322223 0.998621
1330.323612 0.998010
1330.325001 0.997780
1330.326389 0.997046
1330.327778 0.998070
1330.329167 0.996660
1330.356945 0.997118
1330.358334 0.997589
1330.359723 0.997152
1330.361112 0.997438
1330.362500 0.997004
1330.363889 0.997538
1330.365278 0.997079
1330.366667 0.996896
1330.368056 0.996456
1330.369445 0.997214
1330.370834 0.997582
1330.372223 0.997820
1330.373611 0.997707
1330.375000 0.997594
1330.376389 0.997635
1330.377778 0.998045
1330.379167 0.997762
1330.380556 0.997873
1330.381945 0.997297
1330.383334 0.997440
1330.384723 0.997725
1330.386111 0.996851
1330.387500 0.996918
1330.388889 0.997142
1330.390278 0.996818
1330.391667 0.997179
1330.393056 0.997199
1330.394445 0.996879
1330.395834 0.996663
1330.397223 0.996886
1330.398611 0.997162
1330.400000 0.996291
1330.401389 0.996672
1330.402778 0.996751
1330.404167 0.996781
1330.405556 0.997213
1330.406945 0.996961
1330.408334 0.997414
1330.409722 0.997543
1330.411111 0.997425
1330.412500 0.997386
1330.413889 0.997111
1330.415278 0.996675
1330.416667 0.996334
1330.418056 0.996721
1330.419445 0.996426
1330.420834 0.996928
1330.422222 0.996201
1330.423611 0.996452
1330.425000 0.996974
1330.426389 0.997240
1330.427778 0.996955
1330.429167 0.996532
1330.430556 0.997864
1330.431945 0.996913
1330.433333 0.997187
1330.434722 0.997061
1330.436111 0.997875
1330.437500 0.997816
1330.438889 0.996994
1330.440278 0.997298
1330.441667 0.997194
1330.443056 0.997447
1330.444445 0.997599
1330.445833 0.997556
1330.447222 0.997891
1330.448611 0.997398
1330.450000 0.997379
1330.451389 1.000638
1330.452778 1.002267
1330.454167 1.000720
1330.455556 1.001134
1330.456945 1.000789
1330.458333 1.000353
1330.459722 1.000462
1330.461111 1.000212
1330.462500 1.000877
1330.463889 1.000777
1330.465278 1.001046
1330.466667 1.000508
1330.468056 1.000550
1330.469444 1.000276
1330.470833 1.000212
1330.472222 1.000057
1330.473611 1.000186
1330.475000 1.000112
1330.476389 1.000341
1330.477778 1.000080
1330.479167 1.000677
1330.480556 0.999985
1330.481944 1.000262
1330.483333 1.000126
1330.484722 1.000390
1330.486111 0.999925
1330.487500 1.000205
1330.488889 1.000214
1330.490278 1.000167
1330.491667 0.999981
1330.493055 1.000294
1330.494444 1.000307
1330.495833 1.000033
1330.497222 1.000293
1330.498611 0.999906
1330.500000 0.999990
1330.501389 1.000189
1330.502778 1.000274
1330.504167 1.000434
1330.505555 0.999921
1330.506944 1.000072
1330.508333 1.000103
1330.509722 1.000235
1330.511111 0.999837
1330.512500 1.000203
1330.513889 1.000407
1330.515278 1.000067
1330.516667 1.000031
1330.518055 1.000028
1330.519444 0.999938
1330.520833 1.000092
1330.522222 1.000322
1330.523611 0.999910
1330.525000 0.999893
1330.526389 0.999748
1330.527778 1.000117
1330.529166 1.000380
1330.530555 1.000461
1330.531944 0.999974
1330.533333 0.999972
1330.534722 1.000445
1330.536111 1.000086
1330.537500 1.000337
1330.538889 1.000215
1330.540278 0.999988
1330.541666 1.000128
1330.543055 0.999990
1330.544444 1.000372
1330.545833 0.999673
1330.547222 1.000646
1330.548611 1.000615
1330.550000 1.000255
1330.551389 1.000452
1330.552777 0.999479
1330.554166 1.000021
1330.555555 0.999546
1330.556944 1.000105
1330.558333 0.999993
1330.559722 0.999728
1330.561111 1.000307
1330.562500 1.000368
1330.563889 1.000185
1330.565277 1.000107
1330.566666 1.000040
1330.568055 0.999515
1330.569444 0.999843
1330.570833 1.000200
1330.572222 0.999800
1330.573611 0.999917
1330.575000 0.999720
1330.576388 0.999326
1330.577777 1.000150
1330.579166 1.000089
1330.580555 0.999588
1330.581944 0.999996
1330.583333 0.999854
1330.584722 0.999806
1330.586111 0.999794
1330.587500 1.000135
1330.588888 0.999865
1330.590277 0.999708
1330.591666 0.999499
1330.593055 0.999805
1330.594444 1.000011
1330.595833 0.999754
1330.597222 0.999644
1330.598611 0.999293
1330.600000 0.999685
1330.601388 0.999669
1330.602777 0.999394
1330.604166 0.999663
1330.605555 1.000373
1330.606944 0.999513
1330.608333 0.999858
1330.609722 0.999681
