banda,bjd_tdb,fluxo,erro,base,fluxo_corrigido
g,2461275.57955844,0.9933618660934251,0.0007698418283937831,1.0021687849919458,0.9912121400801848
g,2461275.580588921,0.9933651498425695,0.0006271544820591101,1.0020847023850745,0.9912985873132766
g,2461275.5816195197,0.9915543086639511,0.0006495489799534718,1.002001088297733,0.989574083545628
g,2461275.5826792605,0.9939344387219746,0.001035560321555283,1.0019156095653639,0.9920340887324318
g,2461275.5837387796,0.9941205842631796,0.0007075472972559596,1.0018306561389667,0.9923040168230611
g,2461275.584768352,0.9946469786124751,0.0006981105541151993,1.0017485905992132,0.992910784149454
g,2461275.585798168,0.9957164477214386,0.0008974920290424586,1.001666985960576,0.9940593647164772
g,2461275.586860198,0.9963587269883057,0.0009633652545650451,1.0015833332714117,0.9947836529327608
g,2461275.587917671,0.9946737597131415,0.0009845772466325398,1.0015005498230096,0.9931834384803138
g,2461275.5889482386,0.9969706800807479,0.0010448236590836527,1.0014203635835204,0.9955566277014284
g,2461275.5899799885,0.9965362628858756,0.0007594701466858466,1.0013405715519397,0.9952021232310421
g,2461275.5910362243,0.9963112942850839,0.0011147095651960705,1.0012593915882289,0.995058126450833
g,2461275.592066566,0.9959402366273574,0.0009364032127142001,1.0011806962671905,0.9947657204544877
g,2461275.5930965208,0.9955517080784809,0.001003608256278552,1.0011025196410446,0.9944553015763521
g,2461275.5941537856,0.994192294186712,0.0006245723926987589,1.0010227804881129,0.9931764926487784
g,2461275.595181672,0.99361518077578,0.0007044118239854124,1.000945754413809,0.9926763527336984
g,2461275.5962138674,0.9944332087057427,0.0006774089986472364,1.0008689003597973,0.9935698954660885
g,2461275.597271995,0.9963323382930145,0.0008726245258088243,1.0007906325081717,0.9955452278725033
g,2461275.598301279,0.9997156731771961,0.0014007975748623618,1.0007150021919278,0.9990013849971843
g,2461275.599333459,1.0050577555148832,0.0011190673454118513,1.000639659596324,1.0044152716476793
g,2461275.6003904887,1.0011139935759623,0.0011683691303419857,1.0005630252682005,1.0005506582732397
g,2461275.601446016,0.998353247824542,0.0007860858101020621,1.0004870294174213,0.9978672571156453
g,2461275.6024760995,0.9999573704549751,0.0010478726988375413,1.0004133778223265,0.9995441810580902
g,2461275.6035080464,0.9994292917591752,0.0004741605613116514,1.0003401022747584,0.9990894991478277
g,2461275.604565411,1.00246996378141,0.0010679070783373538,1.0002655535343485,1.00220382501354
g,2461275.605621107,0.9980477001565632,0.0006866979263050598,1.0001916620903437,0.9978564489037034
g,2461275.6066514757,0.9957318573992322,0.0007655465163016077,1.0001200657820308,0.9956123184276207
g,2461275.6076819734,0.9958643238225665,0.0008918097369076348,1.0000489789315514,0.995815549840913
g,2461275.608740838,0.9959000558107942,0.0008402017234627056,0.9999764786015494,0.9959234813238248
g,2461275.6097726473,0.9954091549063021,0.0010503025107007323,0.9999063636078264,0.9955023701566439
g,2461275.6108017527,0.9964556728967069,0.000873452841623745,0.9998369588267911,0.9966181626911933
g,2461275.611860044,0.9970814144296661,0.0011685026093050104,0.9997661374138413,0.9973146490126982
