banda,bjd_tdb,fluxo,erro,base,n_fits
i,2461253.5188634307,0.9940877967998059,0.0013121478298938484,0.9960702156367223,221
i,2461253.5223332453,0.9954081930995264,0.0013121478298938484,0.9961712130402052,219
i,2461253.525819841,0.9943877094378154,0.0013121478298938484,0.9962734393812148,222
i,2461253.5292863855,0.9964063608232713,0.0013121478298938484,0.9963757765737488,218
i,2461253.5327459164,0.9979842667441122,0.0013121478298938484,0.9964785673225062,222
i,2461253.5362281734,0.999124989683831,0.0013121478298938484,0.9965826681508156,218
i,2461253.539711036,0.9974110922439745,0.0013121478298938484,0.996687394816251,221
i,2461253.5431793965,0.9991979911279042,0.0013121478298938484,0.9967922624620117,220
i,2461253.546643659,0.999719695608152,0.0013121478298938484,0.9968975562388651,221
i,2461253.5501297642,0.9988692100107543,0.0013121478298938484,0.9970040457287842,220
i,2461253.5535984733,0.9944019422252798,0.0013121478298938484,0.9971105120454802,222
i,2461253.5570632825,0.9934823684653177,0.0013121478298938484,0.9972173451717116,222
i,2461253.5605338016,0.9948980447627098,0.0013121478298938484,0.9973248236780043,223
i,2461253.5640186826,0.9939392422907157,0.0013121478298938484,0.9974332026977799,223
i,2461253.5674842186,0.9938554004400408,0.0013121478298938484,0.9975414174769069,222
i,2461253.5709494757,0.9944237592103733,0.0013121478298938484,0.9976500453943354,224
i,2461253.574433485,0.9933060749026908,0.0013121478298938484,0.9977596731679524,223
i,2461253.5778996446,0.9933835889318637,0.0013121478298938484,0.9978691371021307,222
i,2461253.5813708617,0.9928477748289288,0.0013121478298938484,0.9979791472662236,223
i,2461253.5848460346,0.9936904567170134,0.0013121478298938484,0.9980896600012981,223
i,2461253.5883186557,0.9971695759482269,0.0013121478298938484,0.9982004592190911,223
i,2461253.591789361,0.9976861699477878,0.0013121478298938484,0.9983115559747469,222
i,2461253.595261645,0.9992253051569351,0.0013121478298938484,0.9984230543174847,223
i,2461253.5987321394,0.9981287259571731,0.0013121478298938484,0.9985348390791781,223
i,2461253.602207345,0.9988372803320608,0.0013121478298938484,0.9986471137929724,223
i,2461253.605677251,0.9988028261891104,0.0013121478298938484,0.9987595493646015,221
i,2461253.609147851,1.0010500508512623,0.0013121478298938484,0.9988723344342227,223
i,2461253.612626626,0.9999593595575355,0.0013121478298938484,0.9989857090681297,223
i,2461253.6160968896,0.9988282387656816,0.0013121478298938484,0.9990991257182755,222
i,2461253.6195689486,1.0001422167438336,0.0013121478298938484,0.9992129172708061,222
i,2461253.623038229,1.0000406404424647,0.0013121478298938484,0.9993269312154468,223
i,2461253.626511503,0.9995420663076573,0.0013121478298938484,0.9994413883892598,223
i,2461253.629991689,0.998311081903424,0.0013121478298938484,0.9995563851275233,222
i,2461253.6334507954,1.0003544071895698,0.0013121478298938484,0.9996709938288876,221
i,2461253.636925755,1.0008049190398205,0.0013121478298938484,0.9997864373063152,223
i,2461253.640399167,1.0006143649052055,0.0013121478298938484,0.9999021397537134,223
i,2461253.643870705,0.9969150206867684,0.0013121478298938484,1.0000180907963243,222
i,2461253.647342528,0.9986499327048656,0.0013121478298938484,1.0001343638531404,224
i,2461253.6508249505,0.9978902345641407,0.0013121478298938484,1.0002513078942927,223
i,2461253.6542923246,1.0011021471919488,0.0013121478298938484,1.0003680637220733,221
i,2461253.6577547407,1.0017751590577568,0.0013121478298938484,1.0004849716124442,223
i,2461253.661232342,0.9995229813360559,0.0013121478298938484,1.0006027169883946,223
i,2461253.6647039605,1.0001896290916679,0.0013121478298938484,1.0007205889328867,223
i,2461253.6681770124,0.9961528218085334,0.0013121478298938484,1.0008388437543,223
i,2461253.6716472497,0.9984667353006177,0.0013121478298938484,1.000957342439722,222
i,2461253.675126499,1.0034211147448424,0.0013121478298938484,1.0010764962817909,219
i,2461253.6785966214,1.0025800224989654,0.0013121478298938484,1.001195691318392,221
i,2461253.6820606096,0.999229526910455,0.0013121478298938484,1.0013150359930156,222
i,2461253.6855401425,0.9997944449400944,0.0013121478298938484,1.0014352875166146,224
