banda,bjd_tdb,fluxo,erro,base,n_fits
r,2461241.6490659076,1.0037987453613528,0.0016946154636222747,0.9988743933700154,89
r,2461241.6504478436,1.000748593061315,0.0016931638603416839,0.9987810797051446,89
r,2461241.651837519,1.0009683940587826,0.0016943128402477886,0.9986877683134993,89
r,2461241.653216795,0.9999915385802323,0.0017095035003394747,0.9985958890347861,87
r,2461241.6546025616,0.9992438598077346,0.0016941792994008957,0.998504301758147,89
r,2461241.6559956796,1.0017476055453787,0.0016993347977625477,0.9984128423055717,89
r,2461241.657380956,0.9989033724123526,0.001686699021645023,0.9983226524343752,89
r,2461241.6587703815,0.9980574893044237,0.001689256234339023,0.998232890871901,89
r,2461241.660165824,1.0002953451117225,0.0016884379403694293,0.9981434575193995,90
r,2461241.661563157,0.999733275071018,0.0017052933510680974,0.9980546223035413,89
r,2461241.662951515,1.0014712688693623,0.0017277759427331162,0.9979670447044914,88
r,2461241.6643268866,0.998522121135302,0.001713020440093475,0.9978810363087536,89
r,2461241.6657176255,0.9984783954882734,0.001701968404826032,0.9977947663784253,89
r,2461241.667105359,0.9975976774244858,0.0017046324063103846,0.9977094054562377,89
r,2461241.6685003224,0.9998741123624914,0.001702976970561962,0.9976243408965535,89
r,2461241.6698878617,0.9986916587382167,0.0017105388302499688,0.9975404246235682,89
r,2461241.6712766597,1.0011718124075393,0.0017190893603184609,0.9974571791477791,89
r,2461241.6726628747,1.0033297275107376,0.0017185881576149723,0.9973747589587023,89
r,2461241.674060301,1.0005326275946176,0.0017060199606569147,0.9972924023607924,90
r,2461241.6754450053,1.0014907945927582,0.0017278225188401878,0.9972114875621828,88
r,2461241.6768350955,0.9979602753100872,0.0017066846234584168,0.997130992832313,90
r,2461241.6782236807,1.0017721339227699,0.0017263837073378618,0.9970511915432796,89
r,2461241.679614862,0.9998352404332398,0.0017160565756389624,0.9969721119864265,89
r,2461241.6809986327,0.9963107995986371,0.0017167304643337844,0.9968939053295232,89
r,2461241.6823791913,0.9970296592922475,0.0017255979631506236,0.9968164972541811,89
r,2461241.683778353,0.9980802421985401,0.0017438153678810207,0.9967392438971361,87
r,2461241.6851513823,0.9999066410382407,0.0017379739123306954,0.9966636409401409,88
r,2461241.6865348397,0.9982773585568746,0.0017264696074070437,0.9965878140816813,89
r,2461241.6879478814,0.9977525024019471,0.0017234187519137,0.9965119009834315,90
r,2461241.689335439,0.9974385244740969,0.0017288348062020138,0.9964372478213906,89
r,2461241.690723901,1.0009833464619065,0.001739163389850836,0.9963632104640735,89
r,2461241.6921121012,0.9984593532060462,0.0017414565267137108,0.9962898619563839,89
r,2461241.693512997,0.9970813823450738,0.00174729010821404,0.9962168591143589,88
r,2461241.6948910737,1.0015170682197585,0.001761005159334437,0.9961450115978465,89
r,2461241.6962787416,0.9964547118366625,0.001754353012834627,0.9960731874048235,88
r,2461241.697665866,0.9992085706871832,0.0017489383288749872,0.9960023154805673,88
r,2461241.6990523827,0.9976987880640007,0.0017598886195960394,0.9959315871044008,88
r,2461241.7004391793,0.9969833824494497,0.001775905945749849,0.9958615403241905,88
r,2461241.7018384873,0.9980135999176983,0.001754698811964157,0.995791471200593,90
r,2461241.7032225025,0.9973727748698705,0.001758031269909227,0.9957220448560886,88
r,2461241.7046134286,0.9972217266030358,0.0017390100065832789,0.9956530996708145,89
r,2461241.7059991695,0.9998258813499391,0.0017317581647817056,0.9955845547622775,89
r,2461241.707384975,1.0000084614197677,0.0017655990034022258,0.9955162826229638,89
r,2461241.7087676325,0.9961367828837814,0.0017322781746788606,0.9954485207272393,89
r,2461241.710155919,0.9978635143297002,0.0017434909520624873,0.9953813173752554,89
r,2461241.7115455484,0.9981753825025816,0.00175055376353013,0.9953135230556982,90
r,2461241.712939322,0.9994957624615814,0.0017784511859159744,0.9952466623166806,88
r,2461241.7143139313,0.9962038009230834,0.001768402345185111,0.9951801345125538,88
r,2461241.7157074353,0.9966695814357894,0.0017501163006812762,0.9951132396266904,89
r,2461241.717107986,0.9954632087644187,0.0017767785150952413,0.9950462508972658,88
r,2461241.718493875,0.9969229543292268,0.0017577229101460522,0.9949798548035647,89
r,2461241.7198816775,0.997617960971449,0.0018157110988581038,0.9949130453853029,85
r,2461241.721298304,0.9977417172716526,0.0017796676080966537,0.9948468838323915,88
r,2461241.7226662515,0.9974062639440979,0.0017696564872199893,0.9947801270551185,88
r,2461241.7240611194,0.9918119921912549,0.0017859264998590718,0.9947137457767092,85
