t_bjd_tdb,minutos,C_g,sigC_g,modelo_IIb_g,C_r,sigC_r,modelo_IIb_r,C_i,sigC_i,modelo_IIb_i,C_z,sigC_z,modelo_IIb_z,T_IIa_K,T_IIb_K,T_MB_K,A_MB_cm2,L_IIb_erg_s,L_MB_erg_s,bins_bons
2461268.4,8.9999995,1.0372049,0.0040764859,1.0372049,1.0101944,0.0038703269,1.0133055,1,0.0038209956,1.0074217,1.0027795,0.0045793114,1.0049515,6811.1356,7318.2014,14859,4.5242556e+17,7.4052757e+29,1.2457885e+30,1
2461268.4,9.2500001,1.0400144,0.0040856414,1.0400144,1.0080692,0.0040959167,1.0140837,0.99535706,0.0052831151,1.0077972,1.0008315,0.0055388631,1.0051785,6915.0464,7438.0668,49999.999,5.4541128e+16,7.937253e+29,1.9328707e+31,1
2461268.4,9.4999994,1.033479,0.0040764859,1.033479,1.0132303,0.0038688167,1.0122523,0.99986822,0.0037871268,1.0069087,1.0008932,0.0043058728,1.0046397,6665.9494,7151.0326,10278.873,1.1873826e+18,6.7057709e+29,7.3897742e+29,1
2461268.4,9.7500001,1.0374128,0.0040764859,1.0374128,1.0151541,0.0039334765,1.0133635,1.0032695,0.0046051088,1.0074498,1.0069244,0.0043058728,1.0049685,6818.9789,7327.2419,7248.7033,5.1364674e+18,7.4444987e+29,7.4952766e+29,1
2461268.4,9.9999994,1.0321853,0.0040764859,1.0321853,1.0011147,0.0055505939,1.0118804,0.98829108,0.0050494569,1.0067262,0.99778288,0.0056669146,1.0045283,6613.3133,7090.5172,49999.999,4.2594271e+16,6.4643437e+29,1.5094887e+31,1
2461268.4,10.25,1.0396107,0.0040764859,1.0396107,1.0168309,0.0038708241,1.0139727,1.0061417,0.0045812413,1.0077438,1.0062371,0.0045120835,1.0051462,6900.3845,7421.1425,6815.5471,7.271021e+18,7.8605628e+29,8.123607e+29,1
2461268.4,10.499999,1.0404263,0.0040764859,1.0404263,1.0174553,0.006211737,1.0141968,1.0088057,0.0041929867,1.0078515,1.0094188,0.0059785614,1.0052112,6929.9193,7455.2371,6323.9515,1.0758535e+19,8.0155947e+29,8.6137295e+29,1
2461268.4,10.75,1.0382816,0.0040764859,1.0382816,1.0093031,0.0038718189,1.0136052,1,0.0046009706,1.0075667,0.99609992,0.0044136644,1.0050392,6851.4818,7364.7213,30027.922,1.1272846e+17,7.6086619e+29,5.1957262e+30,1
2461268.4,10.999999,1.0258565,0.0040764859,1.0258565,1.0090667,0.0040405751,1.0100078,0.9992005,0.0043703762,1.0057946,1.0011719,0.0046103094,1.0039546,6335.5804,6771.9576,11371.996,6.6129767e+17,5.2916539e+29,6.2009929e+29,1
2461268.4,11.25,1.0228436,0.0040764859,1.0228436,1.0046908,0.0038718189,1.0090797,1.0004085,0.0037860488,1.0053241,1.0064095,0.0043058728,1.0036616,6188.7723,6604.0621,13224.529,3.7333629e+17,4.7366079e+29,6.4352206e+29,1
2461268.4,11.499999,1.0268955,0.0040764859,1.0268955,1.0126765,0.004760232,1.0103219,1.0050574,0.0039120491,1.0059525,1.002901,0.0049478855,1.0040524,6383.7826,6827.1547,6752.1869,5.1826327e+18,5.4833865e+29,5.5578076e+29,1
2461268.4,11.75,1.026549,0.0040764859,1.026549,1.0168738,0.0065989243,1.0102174,1.0077224,0.0061768942,1.0059001,1.0096961,0.0055371839,1.00402,6367.834,6808.8895,4803.579,3.9249236e+19,5.4194229e+29,7.6784799e+29,1
2461268.5,11.999999,1.0155416,0.0040764859,1.0155416,1.0006748,0.0046714986,1.0066989,0.98913984,0.0053502903,1.0040837,0.99076162,0.0059580255,1.0028758,5774.8349,6132.2974,49999.999,2.0125343e+16,3.3885834e+29,7.1321749e+30,1
2461268.5,12.25,1.0265728,0.0040764859,1.0265728,1,0.0038744316,1.0102246,0.99396201,0.0041490255,1.0059037,0.99900919,0.0058571704,1.0040222,6368.9303,6810.1447,49999.999,3.458693e+16,5.4238022e+29,1.2257184e+31,1
2461268.5,12.499999,1.0255392,0.0042897457,1.0255392,1.0034732,0.0043061823,1.0099112,0.9980122,0.0042236999,1.005746,1.0027177,0.0050477591,1.0039244,6320.6251,6754.8382,49999.999,3.4445913e+16,5.2331324e+29,1.220721e+31,1
2461268.5,12.75,1.0298669,0.0040764859,1.0298669,1.017861,0.0041468703,1.0112052,1.0145212,0.0039663738,1.0063928,1.0043707,0.0043058728,1.0043239,6515.7319,6978.4466,4907.7595,3.8048526e+19,6.0332749e+29,8.4730019e+29,1
2461268.5,12.999999,1.0256427,0.0049004096,1.0256427,1.0083669,0.0038772141,1.0099427,1.0022661,0.0037859983,1.0057619,1.0023063,0.0065050615,1.0039343,6325.5144,6760.4338,9537.5356,1.1689863e+18,5.2522117e+29,5.3606331e+29,1
2461268.5,13.25,1.0307007,0.0041236608,1.0307007,1.0107976,0.0064267514,1.0114494,1.0076308,0.0039720012,1.0065137,1.0070327,0.007827646,1.0043981,6551.3331,7019.316,6482.3444,7.1668645e+18,6.1880921e+29,6.4141469e+29,1
2461268.5,13.499999,1.0268395,0.0040764859,1.0268395,1.0162474,0.0056479524,1.010305,1.0084803,0.0074754922,1.005944,1.0133411,0.0058462621,1.0040472,6381.2138,6824.213,4392.5557,8.4093387e+19,5.4730502e+29,8.8150438e+29,1
2461268.5,13.75,1.0158778,0.0040764859,1.0158778,1.0052118,0.0047526723,1.0068135,0.99329259,0.00475825,1.0041448,0.99611527,0.0043058728,1.002915,5796.2743,6156.6802,49999.999,2.1424558e+16,3.4510825e+29,7.5926009e+30,1
2461268.5,13.999999,1.0148671,0.0040764859,1.0148671,1.0078813,0.0041498652,1.0064671,1.0035698,0.0042401901,1.0039599,1.0043167,0.0052567804,1.0027962,5730.937,6082.3885,5507.4912,8.68789e+18,3.2629595e+29,3.6092572e+29,1
2461268.5,14.25,1.021439,0.0040764859,1.021439,1.009389,0.0083174094,1.0086374,1.0090369,0.0084813355,1.0050976,0.99921512,0.0070300983,1.0035196,6116.2815,6521.2774,6612.4154,4.558142e+18,4.4780604e+29,4.4568846e+29,1
2461268.5,14.499999,1.0178362,0.0040764859,1.0178362,1.0102699,0.0041311443,1.0074706,1.0025359,0.0050442947,1.0044917,1.0038537,0.0056990162,1.0031366,5915.8773,6292.7953,5709.2066,8.4874965e+18,3.8138701e+29,4.2112359e+29,1
2461268.5,14.75,1.0218756,0.0043979964,1.0218756,1.0149653,0.0038866722,1.0087756,1.011145,0.0043910095,1.0051686,1.0095718,0.0057182616,1.0035641,6139.1179,6547.3472,4156.6087,1.2596089e+20,4.5584261e+29,7.9347168e+29,1
2461268.5,14.999999,1.013308,0.0040764859,1.013308,1.00927,0.0043921362,1.0059217,1.006495,0.0039505842,1.003666,1.0067513,0.0049906817,1.002606,5624.4809,5961.4394,4085.0253,9.5877407e+19,2.9710951e+29,4.9502641e+29,1
2461268.5,15.25,1.0150229,0.0040764859,1.0150229,1.0122029,0.0057987516,1.0065209,1.0074214,0.0037860488,1.0039887,1.0055669,0.0062926942,1.0028147,5741.1894,6094.0423,4195.0953,7.8649893e+19,3.2920177e+29,5.4543785e+29,1
2461268.5,15.499999,1.0132238,0.0058057207,1.0132238,1.0056738,0.0055170652,1.0058918,1.0009264,0.0051556325,1.0036498,0.99439055,0.0071466287,1.0025955,5618.5159,5954.6649,3700,0,2.9552637e+29,0,1
2461268.5,15.75,1.0078144,0.0040764859,1.0078144,1.0007585,0.0038901642,1.0038611,0.99876863,0.0042713593,1.0025159,0.99696325,0.0047368331,1.0018456,5170.3057,5446.1789,3700,0,1.9124808e+29,0,1
2461268.5,15.999999,1.0046148,0.0040764859,1.0046148,1.0065855,0.0038904259,1.0025072,0.99772219,0.003787626,1.0017127,0.99719616,0.0048231863,1.0012937,4802.613,5028.4096,3700,0,1.2483117e+29,0,1
2461268.5,16.25,1.0072143,0.0050059427,1.0072143,1.0081579,0.004457803,1.0036185,1.0025173,0.0039123375,1.0023753,0.99417318,0.005565712,1.0017505,5109.647,5377.3665,3700,0,1.7919678e+29,0,1
2461268.5,16.499999,1.0126679,0.0042828779,1.0126679,1.0090109,0.0038904763,1.0056935,1.0036842,0.0065713584,1.0035419,0.99773529,0.0043058728,1.0025253,5578.52,5909.25,3700,0,2.8505194e+29,0,1
2461268.5,16.75,1.0048092,0.0040764859,1.0048092,1.001355,0.0038913946,1.0025944,1.000194,0.0045035472,1.001766,0.98829884,0.0046410511,1.001331,4828.7851,5058.2245,3700,0,1.2905704e+29,0,1
2461268.5,16.999999,1.0041171,0.0040764859,1.0041171,1.0015222,0.0050419083,1.0022802,0.99679265,0.0037891334,1.0015728,0.99437274,0.0043058728,1.0011952,4732.4265,4948.3576,3700,0,1.1385096e+29,0,1
2461268.5,17.25,0.99812292,0.005843281,1,1.0036534,0.0049513596,1,1.000985,0.004770703,1,0.99038249,0.0050498968,1,3700,3700,3700,0,0,0,1
2461268.5,17.499999,1.0020982,0.0040764859,1.0020982,1.0030967,0.0038913946,1.0012868,1.001206,0.0037901792,1.0009352,0.98857888,0.0043058728,1.0007343,4379.929,4542.7221,3700,0,6.5864779e+28,0,1
2461268.5,17.75,1.0034693,0.0040764859,1.0034693,0.99962713,0.0050780675,1.0019756,0.99664149,0.0046291728,1.001382,0.98976744,0.0059895627,1.0010595,4633.0613,4834.719,3700,0,9.9153186e+28,0,1
2461268.5,17.999999,1.0043156,0.0041046777,1.0043156,1.0003647,0.0038918951,1.0023714,0.99699556,0.0037917959,1.0016292,0.99408126,0.0043058728,1.001235,4760.992,4980.9559,3700,0,1.1825852e+29,0,1
2461268.5,18.25,1.0038855,0.0040764859,1.0038855,1.0062948,0.0038918951,1.0021725,1.0036566,0.0039131366,1.0015058,1.0028704,0.0043058728,1.0011477,4698.0419,4909.0774,3700,0,1.0865444e+29,0,1
2461268.5,18.499999,1.0028474,0.0040813235,1.0028474,0.99080817,0.0038918951,1.0016717,0.99996649,0.0043039896,1.0011878,0.98945151,0.004581282,1.0009196,4526.9042,4712.7932,3700,0,8.4495078e+28,0,1
2461268.5,18.75,1.00633,0.0040813235,1.00633,1.0037865,0.0038918951,1.0032524,0.99626277,0.003795105,1.0021607,0.99613828,0.0043058728,1.0016041,5014.2563,5269.0984,3700,0,1.6114987e+29,0,1
2461268.5,18.999999,1.0055539,0.0040813235,1.0055539,0.99997939,0.0038918951,1.0029216,1.0027139,0.0040501896,1.0019639,0.99569393,0.0043058728,1.0014686,4923.4971,5165.9846,3700,0,1.4496581e+29,0,1
