# AU Mic b - empilhamento em fase (5 transitos)
# T0_ref=1330.390510  P_ref=8.4631516
# dt_dias  fluxo_normalizado  epoca
-0.15599019 1.00010149 85
-0.15578954 1.00075248 0
-0.15552088 0.99979365 84
-0.15520654 0.99877064 86
-0.15461827 1.00042622 2
-0.15460128 1.00014692 85
-0.15440066 0.99928476 0
-0.15413195 0.99969975 84
-0.15381765 0.99914346 86
-0.15322943 0.99987194 2
-0.15321238 1.00025932 85
-0.15301178 0.99948418 0
-0.15274303 1.00021646 84
-0.15242876 0.99946348 86
-0.15184058 1.00074715 2
-0.15182348 0.99992876 85
-0.15162290 0.99967225 0
-0.15135410 1.00049550 84
-0.15103987 1.00062477 86
-0.15045173 0.99969976 2
-0.15043458 1.00000009 85
-0.15023402 1.00042834 0
-0.14996518 1.00036042 84
-0.14965097 1.00121541 86
-0.14906289 1.00025668 2
-0.14904567 0.99984622 85
-0.14884514 1.00000364 0
-0.14857625 0.99996358 84
-0.14826208 1.00098734 86
-0.14767404 0.99981109 2
-0.14765677 1.00013557 85
-0.14745626 0.99988806 0
-0.14718733 0.99955905 84
-0.14687319 1.00080797 86
-0.14628520 1.00008877 2
-0.14626787 1.00011282 85
-0.14606737 1.00084541 0
-0.14579840 1.00033605 84
-0.14548430 1.00148785 86
-0.14489635 1.00036461 2
-0.14487896 0.99999993 85
-0.14467849 1.00004343 0
-0.14440948 0.99999888 84
-0.14409541 1.00038808 86
-0.14350750 0.99958573 2
-0.14349006 0.99953688 85
-0.14328961 0.99948303 0
-0.14302055 1.00011872 84
-0.14270652 1.00053724 86
-0.14211866 1.00125453 2
-0.14210116 0.99999172 85
-0.14190073 1.00041312 0
-0.14163163 1.00011752 84
-0.14131763 1.00071088 86
-0.14072981 1.00037287 2
-0.14071225 0.99988756 85
-0.14051185 0.99984394 0
-0.14024270 1.00056309 84
-0.13992874 1.00025605 86
-0.13934097 0.99984770 2
-0.13932335 1.00010860 85
-0.13912297 0.99954051 0
-0.13885378 1.00021173 84
-0.13853985 1.00048367 86
-0.13795212 0.99942710 2
-0.13793445 0.99981857 85
-0.13773408 0.99946483 0
-0.13746486 0.99989547 84
-0.13715096 1.00030884 86
-0.13656327 1.00147455 2
-0.13654554 0.99994027 85
-0.13634520 1.00046875 0
-0.13607593 0.99935067 84
-0.13576207 1.00019417 86
-0.13517443 0.99994457 2
-0.13515664 1.00013640 85
-0.13495632 0.99998093 0
-0.13468701 0.99999480 84
-0.13437318 1.00041272 86
-0.13378558 0.99996941 2
-0.13376774 0.99962282 85
-0.13356744 0.99995149 0
-0.13329808 1.00016928 84
-0.13298429 1.00000262 86
-0.13239674 1.00045636 2
-0.13237883 1.00014764 85
-0.13217856 1.00006557 0
-0.13190916 0.99974429 84
-0.13159540 1.00077042 86
-0.13098993 1.00000669 85
-0.13078968 0.99968965 0
-0.13052023 0.99987577 84
-0.13020651 1.00017680 86
-0.12960103 1.00023796 85
-0.12940080 1.00017718 0
-0.12913131 1.00018191 84
-0.12881762 1.00013806 86
-0.12821212 1.00016493 85
-0.12801191 0.99969572 0
-0.12774238 1.00006139 84
-0.12742873 0.99977711 86
-0.12682322 1.00001030 85
-0.12662303 0.99996641 0
-0.12635346 0.99978286 84
-0.12603984 1.00002543 86
-0.12543432 0.99999538 85
-0.12523415 0.99968143 0
-0.12496453 0.99950880 84
-0.12465095 0.99973735 86
-0.12404541 0.99983160 85
-0.12384527 0.99973806 0
-0.12357561 0.99921755 84
-0.12326205 1.00003246 86
-0.12265651 0.99986066 85
-0.12245639 1.00013309 0
-0.12218668 1.00044913 84
-0.12187316 1.00015010 86
-0.12128597 1.00059537 2
-0.12126761 0.99978804 85
-0.12106751 1.00010355 0
-0.12079776 1.00000124 84
-0.12048427 1.00072295 86
-0.11989712 1.00096411 2
-0.11987871 1.00031262 85
-0.11967863 1.00018549 0
-0.11940884 0.99903812 84
-0.11909538 0.99982754 86
-0.11850828 1.00054798 2
-0.11848980 0.99963347 85
-0.11828974 0.99990590 0
-0.11801991 0.99932161 84
-0.11770649 1.00021306 86
-0.11711943 1.00055017 2
-0.11710090 1.00023668 85
-0.11690086 1.00035358 0
-0.11663099 0.99959352 84
-0.11631760 0.99967642 86
-0.11573058 1.00094389 2
-0.11571200 1.00041478 85
-0.11551198 0.99987175 0
-0.11524206 0.99989896 84
-0.11492871 1.00025110 86
-0.11434174 1.00023249 2
-0.11432309 1.00022734 85
-0.11412310 0.99937895 0
-0.11385314 0.99949932 84
-0.11353982 1.00001748 86
-0.11295289 1.00012685 2
-0.11293419 1.00050160 85
-0.11273422 0.99982950 0
-0.11246421 0.99984770 84
-0.11215093 1.00065797 86
-0.11156405 1.00027598 2
-0.11154529 0.99995895 85
-0.11134534 0.99999425 0
-0.11107529 0.99973469 84
-0.11076204 1.00011308 86
-0.11017520 1.00027895 2
-0.11015638 0.99971956 85
-0.10995645 0.99998280 0
-0.10968636 1.00019588 84
-0.10937315 1.00020096 86
-0.10878635 1.00022872 2
-0.10876748 1.00008559 85
-0.10856757 0.99979645 0
-0.10829744 0.99967453 84
-0.10798426 1.00042109 86
-0.10739751 1.00012530 2
-0.10737858 1.00017763 85
-0.10717869 1.00006335 0
-0.10690851 0.99993696 84
-0.10659537 0.99972434 86
-0.10600866 1.00053471 2
-0.10598967 1.00068743 85
-0.10578981 0.99974402 0
-0.10551959 0.99951980 84
-0.10520648 1.00015756 86
-0.10461982 1.00005306 2
-0.10460077 1.00039474 85
-0.10440093 1.00008058 0
-0.10413067 0.99988749 84
-0.10381759 0.99958765 86
-0.10323097 0.99949805 2
-0.10321187 1.00010373 85
-0.10301205 0.99919423 0
-0.10274174 0.99939489 84
-0.10242870 0.99964890 86
-0.10184212 1.00035025 2
-0.10182296 1.00027788 85
-0.10162317 1.00008004 0
-0.10135282 0.99952853 84
-0.10103981 0.99924313 86
-0.10045328 0.99992629 2
-0.10043406 0.99990747 85
-0.10023429 1.00004166 0
-0.09996389 0.99935529 84
-0.09965092 0.99975074 86
-0.09906443 1.00005598 2
-0.09904516 1.00023393 85
-0.09884540 0.99915791 0
-0.09857497 0.99947494 84
-0.09826203 0.99923558 86
-0.09767559 1.00006901 2
-0.09765626 1.00031854 85
-0.09745652 0.99986486 0
-0.09718604 0.99996210 84
-0.09687313 0.99949052 86
-0.09628674 1.00049889 2
-0.09626735 1.00016120 85
-0.09606764 0.99999824 0
-0.09579712 0.99987264 84
-0.09548424 0.99924219 86
-0.09489790 1.00018892 2
-0.09487845 1.00053249 85
-0.09467876 0.99970305 0
-0.09440819 0.99953578 84
-0.09409535 0.99876703 86
-0.09350905 0.99994473 2
-0.09348955 0.99973040 85
-0.09328988 0.99978230 0
-0.09301927 0.99964702 84
-0.09270646 0.99979197 86
-0.09212020 1.00006573 2
-0.09210064 1.00016317 85
-0.09190100 0.99968366 0
-0.09163035 0.99953169 84
-0.09131757 0.99989232 86
-0.09073136 0.99950451 2
-0.09071174 1.00035714 85
-0.09051211 0.99988065 0
-0.09024142 0.99970505 84
-0.08992868 0.99971481 86
-0.08934251 1.00020279 2
-0.08932284 1.00006218 85
-0.08912323 0.99981203 0
-0.08885250 0.99970189 84
-0.08853979 0.99919396 86
-0.08795367 1.00002194 2
-0.08793393 1.00012586 85
-0.08773435 0.99952589 0
-0.08746357 0.99943626 84
-0.08715090 0.99981246 86
-0.08656482 0.99926359 2
-0.08654503 1.00025238 85
-0.08634547 0.99928018 0
-0.08607465 0.99968300 84
-0.08576201 0.99973784 86
-0.08517597 1.00022294 2
-0.08515613 1.00020782 85
-0.08495659 0.99989513 0
-0.08468572 0.99888886 84
-0.08437312 0.99886370 86
-0.08378713 0.99998003 2
-0.08376722 0.99989439 85
-0.08356771 0.99957167 0
-0.08329680 0.99935390 84
-0.08298423 0.99957621 86
-0.08239828 1.00039795 2
-0.08237832 0.99983173 85
-0.08217883 0.99963781 0
-0.08190787 0.99859392 84
-0.08159534 0.99899858 86
-0.08100944 1.00027215 2
-0.08098942 0.99885603 85
-0.08078994 0.99957673 0
-0.08051895 0.99802112 84
-0.08020645 0.99768401 86
-0.07962059 0.99980611 2
-0.07960052 0.99870442 85
-0.07940106 1.00027762 0
-0.07913002 0.99823937 84
-0.07881756 0.99751005 86
-0.07823174 1.00048906 2
-0.07821161 0.99784907 85
-0.07801218 1.00009357 0
-0.07774110 0.99797266 84
-0.07742867 0.99669746 86
-0.07684290 0.99980091 2
-0.07682271 0.99873891 85
-0.07662330 0.99966643 0
-0.07635218 0.99768073 84
-0.07603978 0.99735627 86
-0.07545405 0.99969305 2
-0.07543381 0.99720301 85
-0.07523442 1.00018530 0
-0.07496325 0.99706480 84
-0.07465089 0.99681867 86
-0.07406521 1.00025107 2
-0.07404490 0.99781143 85
-0.07384554 0.99969998 0
-0.07357433 0.99767547 84
-0.07326200 0.99688343 86
-0.07267636 1.00005286 2
-0.07265600 0.99781941 85
-0.07245666 0.99993509 0
-0.07218540 0.99697020 84
-0.07187311 0.99699562 86
-0.07128751 1.00009240 2
-0.07126710 0.99808828 85
-0.07106777 0.99976854 0
-0.07079648 0.99696277 84
-0.07048422 0.99624447 86
-0.06989867 0.99978583 2
-0.06987819 0.99745190 85
-0.06967889 0.99889571 0
-0.06940755 0.99729883 84
-0.06909533 0.99663948 86
-0.06850982 0.99896890 2
-0.06848929 0.99753951 85
-0.06829001 0.99837630 0
-0.06801863 0.99756075 84
-0.06770643 0.99623306 86
-0.06712098 0.99885132 2
-0.06710039 0.99759835 85
-0.06690113 0.99767639 0
-0.06662970 0.99644440 84
-0.06631754 0.99713931 86
