# AU Mic b | epoca=2 | Setor 1  (2018) | Tc=1347.316813 | T0=1330.390510 | P=8.4631516
# tempo_BTJD  dt_dias  fluxo_residual  fluxo_normalizado
1347.18441646 -0.13239674 1.00018212 1.00045636
1347.19552723 -0.12128597 1.00032108 1.00059537
1347.19691608 -0.11989712 1.00068972 1.00096411
1347.19830492 -0.11850828 1.00027371 1.00054798
1347.19969377 -0.11711943 1.00027590 1.00055017
1347.20108262 -0.11573058 1.00066951 1.00094389
1347.20247146 -0.11434174 0.99995831 1.00023249
1347.20386031 -0.11295289 0.99985270 1.00012685
1347.20524915 -0.11156405 1.00000179 1.00027598
1347.20663800 -0.11017520 1.00000475 1.00027895
1347.20802685 -0.10878635 0.99995453 1.00022872
1347.20941569 -0.10739751 0.99985114 1.00012530
1347.21080454 -0.10600866 1.00026044 1.00053471
1347.21219338 -0.10461982 0.99977892 1.00005306
1347.21358223 -0.10323097 0.99922407 0.99949805
1347.21497108 -0.10184212 1.00007603 1.00035025
1347.21635992 -0.10045328 0.99965218 0.99992629
1347.21774877 -0.09906443 0.99978184 1.00005598
1347.21913761 -0.09767559 0.99979487 1.00006901
1347.22052646 -0.09628674 1.00022463 1.00049889
1347.22191530 -0.09489790 0.99991474 1.00018892
1347.22330415 -0.09350905 0.99967062 0.99994473
1347.22469300 -0.09212020 0.99979159 1.00006573
1347.22608184 -0.09073136 0.99923052 0.99950451
1347.22747069 -0.08934251 0.99992861 1.00020279
1347.22885953 -0.08795367 0.99974781 1.00002194
1347.23024838 -0.08656482 0.99898967 0.99926359
1347.23163723 -0.08517597 0.99994875 1.00022294
1347.23302607 -0.08378713 0.99970592 0.99998003
1347.23441492 -0.08239828 1.00012372 1.00039795
1347.23580376 -0.08100944 0.99999795 1.00027215
1347.23719261 -0.07962059 0.99953204 0.99980611
1347.23858146 -0.07823174 1.00021481 1.00048906
1347.23997030 -0.07684290 0.99952685 0.99980091
1347.24135915 -0.07545405 0.99941901 0.99969305
1347.24274799 -0.07406521 0.99997688 1.00025107
1347.24413684 -0.07267636 0.99977872 1.00005286
1347.24552569 -0.07128751 0.99981825 1.00009240
1347.24691453 -0.06989867 0.99951177 0.99978583
1347.24830338 -0.06850982 0.99869506 0.99896890
1347.24969222 -0.06712098 0.99857752 0.99885132
1347.25108107 -0.06573213 0.99760508 0.99787862
1347.25246991 -0.06434329 0.99742371 0.99769721
1347.25385876 -0.06295444 0.99717686 0.99745028
1347.25524761 -0.06156559 0.99700654 0.99727992
1347.25663645 -0.06017675 0.99731953 0.99759299
1347.25802530 -0.05878790 0.99764490 0.99791845
1347.25941414 -0.05739906 0.99836299 0.99863674
1347.26080299 -0.05601021 0.99808696 0.99836064
1347.26219184 -0.05462136 0.99762320 0.99789674
1347.26358068 -0.05323252 0.99772799 0.99800157
1347.26496953 -0.05184367 0.99772215 0.99799573
1347.26635837 -0.05045483 0.99771983 0.99799340
1347.26774722 -0.04906598 0.99813662 0.99841031
1347.26913607 -0.04767713 0.99929553 0.99956953
1347.27052491 -0.04628829 0.99895152 0.99922543
1347.27191376 -0.04489944 0.99870439 0.99897823
1347.27330260 -0.04351060 0.99897267 0.99924659
1347.27469145 -0.04212175 0.99864724 0.99892107
1347.27608030 -0.04073290 0.99850667 0.99878046
1347.27746914 -0.03934406 0.99830751 0.99858124
1347.27885799 -0.03795521 0.99818846 0.99846216
1347.28024683 -0.03656637 0.99715141 0.99742483
1347.28163568 -0.03517752 0.99762122 0.99789476
1347.28302452 -0.03378868 0.99757199 0.99784552
