# AU Mic b - todos os transitos extraidos dos setores 1 e 27
# T0_ref=1330.390510  P_ref=8.4631516  janela=+/-0.25 d  N_transitos=5  N_pontos=1739
# tempo_BTJD  dt_dias  fluxo_residual  fluxo_normalizado  epoca  setor
1330.46944141 0.07893141 1.00022171 1.00025620 0 12018
1330.47083029 0.08032029 1.00008176 1.00011625 0 12018
1330.47221917 0.08170917 0.99991711 0.99995159 0 12018
1330.47360805 0.08309805 1.00010766 1.00014215 0 12018
1330.47499693 0.08448693 1.00014305 1.00017754 0 12018
1330.47638581 0.08587581 1.00027165 1.00030614 0 12018
1330.47777469 0.08726469 1.00009840 1.00013289 0 12018
1330.47916357 0.08865357 1.00071449 1.00074900 0 12018
1330.48055246 0.09004246 0.99976294 0.99979742 0 12018
1330.48194134 0.09143134 1.00031118 1.00034567 0 12018
1330.48333022 0.09282022 1.00003275 1.00006724 0 12018
1330.48471910 0.09420910 1.00013432 1.00016881 0 12018
1330.48610798 0.09559798 0.99984996 0.99988444 0 12018
1330.48749686 0.09698686 1.00007383 1.00010832 0 12018
1330.48888574 0.09837574 1.00016447 1.00019896 0 12018
1330.49027462 0.09976462 0.99999187 1.00002635 0 12018
1330.49166351 0.10115351 0.99987294 0.99990742 0 12018
1330.49305239 0.10254239 1.00019210 1.00022659 0 12018
1330.49444127 0.10393127 1.00015282 1.00018732 0 12018
1330.49583015 0.10532015 0.99993820 0.99997269 0 12018
1330.49721903 0.10670903 1.00017689 1.00021138 0 12018
1330.49860791 0.10809791 0.99983081 0.99986529 0 12018
1330.49999679 0.10948679 0.99996331 0.99999780 0 12018
1330.50138567 0.11087567 1.00009266 1.00012715 0 12018
1330.50277455 0.11226455 1.00008159 1.00011608 0 12018
1330.50416344 0.11365344 1.00047708 1.00051158 0 12018
1330.50555232 0.11504232 0.99987504 0.99990952 0 12018
1330.50694120 0.11643120 0.99993527 0.99996976 0 12018
1330.50833008 0.11782008 1.00010752 1.00014201 0 12018
1330.50971896 0.11920896 1.00008184 1.00011633 0 12018
1330.51110784 0.12059784 0.99973648 0.99977095 0 12018
1330.51249672 0.12198672 1.00009957 1.00013406 0 12018
