# AU Mic b - empilhado binado (bins de 0.002 d)
# T0_ref=1330.390510  P_ref=8.4631516
# dt_dias  fluxo_normalizado  erro
0.15308366 1.00012987 0.00008527
0.15511205 1.00019062 0.00021050
0.15698128 1.00000835 0.00007518
0.15894977 1.00017361 0.00005419
0.16081512 0.99987390 0.00010205
0.16291482 0.99997048 0.00013581
0.16498179 0.99980361 0.00029495
0.16686299 0.99999904 0.00026392
0.16899846 0.99988171 0.00022986
0.17113932 1.00006828 0.00015008
0.17316515 1.00004752 0.00019974
0.17516403 0.99962121 0.00023515
0.17704982 0.99996798 0.00012945
0.17890387 1.00006409 0.00010910
0.18107997 0.99984216 0.00012974
0.18307056 0.99979932 0.00018907
0.18500985 1.00008056 0.00015087
0.18705409 0.99997789 0.00017806
0.18902560 0.99979745 0.00014740
0.19093874 0.99988256 0.00010286
0.19279285 0.99983650 0.00018786
0.19491149 0.99996177 0.00002918
0.19695954 0.99952751 0.00019805
0.19880745 1.00003473 0.00012369
0.20094582 0.99998804 0.00010756
0.20306534 1.00003025 0.00010678
0.20510971 0.99992561 0.00016783
0.20710837 0.99995882 0.00010726
0.20899435 0.99978483 0.00017501
0.21081513 0.99996791 0.00008807
0.21291481 0.99978682 0.00013790
0.21498179 0.99998765 0.00008169
0.21695418 0.99974233 0.00008742
0.21899865 0.99997361 0.00010808
0.22112084 1.00008106 0.00012719
0.22316533 0.99977225 0.00015201
0.22516387 0.99974923 0.00009091
0.22704995 1.00000250 0.00007444
0.22887068 1.00016248 0.00021829
0.23097036 0.99989502 0.00013565
0.23303735 0.99981246 0.00010625
0.23500968 1.00033732 0.00012227
0.23705427 1.00019336 0.00011111
0.23902600 1.00034939 0.00012687
0.24089490 1.00016320 0.00011034
0.24279316 1.00035547 0.00013318
0.24491192 1.00009988 0.00014002
0.24695985 1.00032715 0.00006881
0.24891755 0.99985216 0.00008918
