# tempo_BTJD  residuo_normalizado
3883.48456782  1.00072597
3883.48595672  1.00029646
3883.48734562  0.99963301
3883.48873452  1.00025804
3883.49012341  0.99981124
3883.49151231  0.99986940
3883.49290121  1.00017660
3883.49429011  1.00006823
3883.49567900  1.00018415
3883.49706790  0.99982795
3883.49845680  1.00009274
3883.49984569  1.00015631
3883.50123459  0.99991591
3883.50262349  1.00072681
3883.50401239  1.00016422
3883.50540128  1.00019778
3883.50679018  1.00030692
3883.50817908  1.00035608
3883.50956798  1.00037590
3883.51095687  0.99970448
3883.51234577  1.00021949
3883.51373467  1.00048502
3883.51512357  1.00011595
3883.51651246  1.00030149
3883.51790136  1.00068138
3883.51929026  1.00038693
3883.52067916  0.99993665
3883.52206805  1.00032974
3883.52345695  1.00024649
3883.52484585  1.00088501
3883.52623474  1.00124747
3883.52762364  1.00039793
3883.52901254  1.00053019
3883.53040144  1.00111763
3883.53179033  1.00044456
3883.53317923  1.00101220
3883.53456813  1.00050258
3883.53595703  1.00073781
3883.53734592  1.00016078
3883.53873482  1.00031682
3883.54012372  1.00026481
3883.54151261  1.00061248
3883.54290151  1.00017967
3883.54429041  1.00043929
3883.54567931  1.00055627
3883.54706820  1.00063598
3883.54845710  1.00030309
3883.54984600  1.00028202
3883.55123489  0.99947960
3883.55262379  1.00018507
3883.55401269  1.00032065
3883.55540159  0.99994583
3883.55679048  0.99963686
3883.55817938  0.99993671
3883.55956828  0.99994297
3883.56095717  1.00013706
3883.56234607  0.99986694
3883.56373497  0.99979079
3883.56512387  1.00017042
3883.56651276  1.00009412
3883.56790166  1.00000643
3883.56929056  1.00005502
3883.57067945  1.00112907
3883.57206835  1.00018487
3883.57345725  1.00102196
3883.57484615  1.00076504
3883.57623504  1.00075755
3883.57762394  1.00081603
3883.57901284  1.00049031
3883.58040173  1.00094455
3883.58179063  0.99974845
3883.58317953  1.00032886
3883.58456843  1.00038259
3883.58595732  1.00048402
3883.58734622  1.00044386
3883.58873512  1.00053650
3883.59012401  0.99984867
3883.59151291  1.00073093
3883.59290181  1.00032698
3883.59429071  1.00051248
3883.59567960  1.00008470
3883.59706850  1.00024993
3883.59845740  1.00025037
3883.59984629  0.99944953
3883.60123519  1.00007389
3883.60262409  1.00016880
3883.60401299  0.99988047
3883.60540188  1.00064845
3883.60679078  1.00081694
3883.60817968  1.00053420
3883.60956857  1.00069286
3883.61095747  1.00032752
3883.61234637  1.00040485
3883.61373526  1.00052466
3883.61512416  1.00041779
3883.61651306  1.00057641
3883.61790196  0.99989096
3883.61929085  1.00013294
3883.62067975  1.00027508
3883.62206865  1.00038047
3883.62345754  0.99993195
3883.62484644  1.00050111
3883.62623534  1.00006021
3883.62762423  0.99972032
3883.62901313  0.99957185
3883.63040203  1.00096617
3883.63179092  0.99982712
3883.63317982  1.00040273
